nm_docente;chave;foto
FERNANDO RANGEL DE SOUSA;K4797276Y4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4797276Y4
FERNANDO RICHARTZ;K4430042P4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4430042P4
FERNANDO SOARES PINTO SANT ANNA;;
FERNANDO SPILLER;K4735076Y4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4735076Y4
FILIPE CARVALHO MATHEUS;K4210388Z2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4210388Z2
FILIPE IVAN DANIEL;K4779039A3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4779039A3
FILIPE MODOLO SIQUEIRA;K4778212A6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4778212A6
FLAVIA FLORENTINO VARELLA;K4133130Z6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4133130Z6
FLAVIA GARCIA GUIDOTTI;K4750079U9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4750079U9
FLÁVIA REGINA SOUZA RAMOS;K4790022Z3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4790022Z3
FLAVIO RUBENS LAPOLLI;K4769497Z3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4769497Z3
FRANCELI RODRIGUES KULCHESKI;K4779148Z1;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4779148Z1
FRANCIELE BETE PETRY;K4779833Y6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4779833Y6
FRANCINE LIMA GELBCKE;K4723032Z2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4723032Z2
FRANCIS CARLO PETTERINI LOURENCO;K4509194P7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4509194P7
FRANCISCO ANTONIO PEREIRA FIALHO;K4796559Z6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4796559Z6
FRANCISCO DE ASSIS GUEDES DE VASCONCELOS;K4787100D6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4787100D6
FRANCISCO DE CHAGAS DE SOUZA;K4783245A2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4783245A2
